num_imm,type_voie_imm,nom_voie_imm,city
1,rue de,valois,Paris
9,rue de,valois,Paris
43,rue de,valois,Paris
10,rue de,valois,Paris
0,rue de l',abbé-groult,Paris
4,place des,victoires,Paris
61,rue,violet,Paris
63,rue,violet,Paris
1,rue des,annelets,Paris
27,cité,henry,Paris
81,rue,saint-dominique,Paris
8,villa,bocquet,Paris
2,rue,l'olive,Paris
92,rue,riquet,Paris
5,rue des,iris,Paris
97,avenue de,saint-ouen,Paris
5,rue,paul-barruel,Paris
45,rue du,chateau-des-rentiers,Paris
289,rue des,pyrénées,Paris
18,rue du,retrait,Paris
15,rue de l',abbé-groult,Paris
98,boulevard de l',hopital,Paris
5,rue,aubriot,Paris
121,rue du faubourg,saint-martin,Paris
2,rue,sibour,Paris
25,rue de,perceval,Paris
9,rue,vercingétorix,Paris
15,rue d',argenson,Paris
15,rue,chaptal,Paris
111,boulevard,haussmann,Paris
16,rue,henner,Paris
18,rue de,phalsbourg,Paris
24,rue,navarin,Paris
40,rue des,martyrs,Paris
40,rue des,alouettes,Paris
58,rue de la,chapelle,Paris
16,rue des,martyrs,Paris
13,rue,vernier,Paris
38,villa,auguste-blanqui,Paris
8,boulevard,emile-augier,Paris
20,square de,la motte-picquet,Paris
5,rue d',ouessant,Paris
22,rue des,colonnes-du-trone,Paris
13,rue,angélique-compoint,Paris
19,rue,cavé,Paris
127,avenue de,malakoff,Paris
32,rue,paul-valéry,Paris
6,rue d',austerlitz,Paris
8,rue,malher,Paris
35,rue,aumaire,Paris
71,rue,oberkampf,Paris
42,avenue de la,république,Paris
45,rue,saint-paul,Paris
47,rue,saint-paul,Paris
41,rue de,montreuil,Paris
10,rue des,tournelles,Paris
10,rue,bayen,Paris
11,rue de,cadix,Paris
7,rue,hallé,Paris
12,avenue du,parc-montsouris,Paris
18,rue,clouet,Paris
15,rue du,docteur-roux,Paris
30,rue du,pressoir,Paris
32,rue du,pressoir,Paris
54,rue,ordener,Paris
151,rue du,chateau,Paris
5,rue,agar,Paris
6,rue,yvon-villarceau,Paris
44,rue du,moulin-de-la-pointe,Paris
2,rue de,chambery,Paris
5,rue de,chambery,Paris
21,rue,vitruve,Paris
15,rue,achille-martinet,Paris
32,rue,damesme,Paris
122,rue du,moulin-des-prés,Paris
3,cite de,genes,Paris
26,rue,castagnary,Paris
20,rue,vulpian,Paris
64,rue,ampere,Paris
3,rue de la,ferronnerie,Paris
,,,Paris
58,rue des,lombards,Paris
33,rue,saint-denis,Paris
35,rue,saint-denis,Paris
58,rue,corvisart,Paris
60,rue,corvisart,Paris
62,rue,corvisart,Paris
1,rue,courtalon,Paris
15,rue,saint-denis,Paris
10,cité,dupont,Paris
43,place de la,porte-chaumont,Paris
27,rue,boulay,Paris
10,rue des,abbesses,Paris
81,rue des,abbesses,Paris
9,rue du,simplon,Paris
3,rue de,varenne,Paris
12,rue de,budapest,Paris
8,rue,jouffroy,Paris
9,rue,lentonnet,Paris
4,avenue,léon-heuzey,Paris
10,rue,jules-siegfried,Paris
120,quai de,jemmapes,Paris
13,rue,pernelle,Paris
96,rue de,rivoli,Paris
2,boulevard de,sebastopol,Paris
